path,clicks
/,34580
/dataset/f0db0249-f17b-4036-9e65-309148c97ce4/national-lidar-programme,23521
/dataset/e5d7c4b6-2527-407c-bcff-23401e4c463e/hmo-register5,11112
/dataset/5025c6bd-53ca-4556-8e2f-518404292762/personal-licence-register,9323
/dataset/17edf94f-6de3-4034-b66b-004ebd0dd010/historic-landfill-sites1,8003
/dataset/14119867-501d-4acb-92c2-2b1fafe9c5b4/empty-homes1,7289
/dataset/fe764aec-ee2f-47ae-a92c-f2ae30f571c9/dtp-number-reverse-engineering,4974
/dataset/efccbd96-ffd0-476f-b80d-20b1787ff51a/ons-postcode-directory-february-2025-for-the-uk,4774
/dataset/76292bec-7d8b-43e8-9c98-02734fd89c81/historic-flood-map1,4532
/collections/land-and-property/land-and-property-ownership,3873
/dataset/6d0f1bf5-b055-4211-9ec6-1c3a4956698c/map-based-index-geoindex-water-wells1,3674
/dataset/a9347796-00da-40e6-8ca5-63069a1154dd/hmo-register,3657
/dataset/c428ea7f-af17-451c-8657-8e15621490ab/speed-camera-locations-in-greater-manchester/datafile/a052ce94-bd52-40d1-9e17-e1534e47310e/preview,3410
/dataset/cf494c44-05cd-4060-a029-35937970c9c6/flood-map-for-planning-rivers-and-sea-flood-zone-2,3310
/dataset/2dfb82b4-741a-4b93-807e-11abb4bb0875/os-postcodes-data1,2702
/dataset/bed63fc1-dd26-4685-b143-2941088923b3/flood-map-for-planning-rivers-and-sea-flood-zone-3,2645
/dataset/c4f80d19-8cfa-4bf6-a283-83183842f876/os-open-uprn,2620
/dataset/2c80e0ce-ee1c-4f26-ba6f-1e1ae1bd8ee9/approved-food-establishments,2577
/dataset/2a67d1ee-8f1b-43a3-8bc6-e8772d162a3c/traffic-commissioners-goods-and-public-service-vehicle-operator-licence-records,2552
/dataset/21db6396-3daf-4d90-8b3f-054995256018/petrol-and-diesel-prices,2548
/dataset/c481f2d3-91fc-4767-ae10-2efdf6d58996/lower-layer-super-output-areas-lsoas,2544
/dataset/cb7ae6f0-4be6-4935-9277-47e5ce24a11f/road-accidents-safety-data,2504
/dataset/dc29160b-b163-4c6e-8817-f313229bcc23/os-open-rivers1,2503
/dataset/afb45f79-0752-4e62-8345-3c7031542911/property-subsidence-assessment-dataset,2388
/collections/business-and-economy/bank-of-england-interest-rates,2268
/dataset/d7fc8964-e9da-42ab-8385-cbac70479f4b/bona-vacantia-estates-advertisements,2231
/dataset/61ce0cbc-3c0e-4311-8021-ff439138eaee/list-of-registered-dairy-establishments,2166
/dataset/87de9bf8-b936-44ff-89c4-f69f8f9bb9c1/mot-test-centres,2159
/dataset/4ae8ba46-f9a4-47d0-8d93-0f93eb494540/statutory-main-river-map,2144
/dataset/26d61739-e05b-420d-8fd0-d11edffa8b27/soilscapes1,2026
/dataset/ea1442bf-ba77-42cc-80e7-2ea339ccb28a/natmap-national-soil-map1,1963
/dataset/9baaf5b2-c554-4387-9ea6-23db50bc7174/boat-registration-boats-registered-by-year,1797
/dataset/9df311f1-c11b-4bdc-a829-ba090e5ecdfd/cctv-camera-locations5,1791
/dataset/19f6064d-7356-466f-844e-d20ea10ae9fd/event-duration-monitoring-storm-overflows-annual-returns,1756
/dataset/0cb4d81a-8a2b-47c1-a3a5-53257f05b095/prosecutions-and-convictions-by-ethnicity,1753
/dataset/85228aec-fe0e-49bf-9455-df000d61e731/counties-and-unitary-authorities-may-2023-boundaries-uk-bgc,1752
/dataset/55efc916-edbb-4468-8c71-0786cb9463c1/desnz-organogram-of-staff-roles-salaries,1728
/dataset/bad20199-6d39-4aad-8564-26a46778fd94/risk-of-flooding-from-rivers-and-sea1,1725
/dataset/65bf62c8-eae0-4475-9c16-a2e81afcbdb0/os-open-roads1,1641
/collections/government,1627
/dataset/03d48dba-529b-4bd5-93a5-6d41d1b20ff9/national-address-gazetteer,1595
/dataset/73e0260a-0516-44ff-b4eb-ba9fec420c45/fcdo-organograms,1580
/dataset/75c8d615-8ef8-4c1e-97d5-8bb670a668b7/libra_1,1579
/dataset/d0be1ed2-9907-4ec4-b552-c048f6aec16a/driving-licence-data,1525
/dataset/21885b5d-4026-4078-9413-99d36aa6d6d9/satellite-imagery-of-the-uk-digital,1500
/dataset/4b6ddab7-6c0f-4407-946e-d6499f19fcde/priority-habitats-inventory-england,1475
/dataset/77931470-ee6b-4f8e-8868-82842aed2e5d/flood-map-for-planning-flood-zones-plus-climate-change,1465
/dataset/c8625e18-c329-4032-b4c7-444b33af6780/environmental-pollution-incidents-category-1-and-21,1438
/dataset/ef919101-236d-4ef4-a966-bc336f58d128/dsit-organogram-of-staff-roles-salaries,1413
/dataset/208c0e7b-353f-4e2d-8b7a-1a7118467acc/gb-road-traffic-counts,1412
/dataset/01b3ee39-da3f-47b6-83da-dc98e73a461f/lidar-composite-digital-terrain-model-dtm-1m,1380
/dataset/17edf94f-6de3-4034-b66b-004ebd0dd010/historic-landfill-sites,1370
/collections/environment/lidar,1337
/dataset/840bc4e8-dafe-4293-970a-3d91ca023754/cctv-traffic-enforcement-camera-locations2,1323
/collections/people/compare-school-performance,1305
/dataset/ff93ffc1-6656-47d8-9155-85ea0b8f2251/naptan,1297
/dataset/3d1a6615-5fc9-4f0e-ab2a-d2b0d71fb9ed/gp-practice-list-sizes,1295
/dataset/4921f8a1-d47e-458b-873b-2a489b1c8165/vertical-aerial-photography,1258
/dataset/952421ec-da63-4569-817d-4d6399df40a1/provisional-agricultural-land-classification-alc2,1246
/dataset/fe764aec-ee2f-47ae-a92c-f2ae30f571c9/dtp-number-reverse-engineering/datafile/86bbd203-bacb-4f5a-9ec5-11615b686fd6/preview,1233
/dataset/104434b0-5263-4c90-9b1e-e43b1d57c750/flood-map-for-planning-flood-zones1,1222
/dataset/1676bb60-bef1-43dc-8c23-641554b066bd/postcode-to-oa-2021-to-lsoa-to-msoa-to-lad-february-2025-best-fit-lookup-in-the-uk,1219
/dataset/595901f1-b613-475e-a32b-c02c0085675d/establishments-approved-to-export-gb,1201
/dataset/e4366c17-83ac-456b-8d01-d91683461d6a/map-based-index-geoindex-onshore-borehole-records1,1199
/dataset/a0e6f23e-d631-4584-9ea2-7053620e4af2/water-quality-archive,1193
/dataset/de94dcfa-b8db-415d-91b2-01f81f1a09e8/bgs-1-63-360-1-50-000-series-geological-maps,1192
/dataset/3bee9a8a-e69c-400e-add5-3345a87a8e25/tariffs-to-trade-with-the-uk-from-1-january-2021,1172
/dataset/4a478c7e-16c7-4c28-ab9b-967bb79342e9/uk-trade-quotas1,1164
/dataset/2e17269d-10b9-4e43-b67b-57f9b02bd0f8/countries-december-2021-boundaries-uk-buc,1155
/dataset/897d0b16-0ebf-486a-af32-1ad03f1d5498/hydrogeological-maps-of-the-uk1,1107
/dataset/5e4ef2be-ad87-4c56-ba23-dbcbc874c6c1/os-places-api,1080
/dataset/7792054a-068d-471b-8969-f53a22b0c9b2/indicative-flood-risk-areas-shapefiles,1078
/dataset/ff76be1f-4f37-4bef-beb7-32b259413be1/organogram-cabinet-office,1076
