# ----------------------------------------
# data.gov.uk
# Directory page views-Free-form 1
# 20250802-20260802
# ----------------------------------------

Page title,Page location,Views
,,133836,Grand total
establishments approved to export animals and animal products to great britain - data.gov.uk,https://www.data.gov.uk/dataset/595901f1-b613-475e-a32b-c02c0085675d/establishments-approved-to-export-gb,5455
eu and efta countries approved to export animals and animal products to great britain - data.gov.uk,https://www.data.gov.uk/dataset/4698a65d-1a3b-42d1-981e-df869e04185b/export-of-animals-and-animal-products-to-the-uk,2814
non-eu countries approved to export animals and animal products to great britain - data.gov.uk,https://www.data.gov.uk/dataset/b92627b0-dd7b-4e1d-ba36-e25424f55eeb/non-eu-countries-approved-to-export-animals-and-animal-products-to-great-britain,2537
establishments approved to export animals and animal products to great britain - national data library,https://www.data.gov.uk/dataset/595901f1-b613-475e-a32b-c02c0085675d/establishments-approved-to-export-gb,2456
national lidar programme - data.gov.uk,https://www.data.gov.uk/dataset/f0db0249-f17b-4036-9e65-309148c97ce4/national-lidar-programme,2200
eu and efta countries approved to export animals and animal products to great britain - national data library,https://www.data.gov.uk/dataset/4698a65d-1a3b-42d1-981e-df869e04185b/export-of-animals-and-animal-products-to-the-uk,1563
national lidar programme - national data library,https://www.data.gov.uk/dataset/f0db0249-f17b-4036-9e65-309148c97ce4/national-lidar-programme,1335
non-eu countries approved to export animals and animal products to great britain - national data library,https://www.data.gov.uk/dataset/b92627b0-dd7b-4e1d-ba36-e25424f55eeb/non-eu-countries-approved-to-export-animals-and-animal-products-to-great-britain,1241
road safety data - data.gov.uk,https://www.data.gov.uk/dataset/cb7ae6f0-4be6-[date]-47e5ce24a11f/road-accidents-safety-data,856
tariffs to trade with the uk from 1 january 2021 - data.gov.uk,https://www.data.gov.uk/dataset/3bee9a8a-e69c-400e-add5-3345a87a8e25/tariffs-to-trade-with-the-uk-from-1-january-2021,850
personal licence register - data.gov.uk,https://www.data.gov.uk/dataset/5025c6bd-53ca-4556-8e2f-[date]2762/personal-licence-register,775
historic landfill sites - data.gov.uk,https://www.data.gov.uk/dataset/17edf94f-6de3-4034-b66b-004ebd0dd010/historic-landfill-sites1,774
hmo register - data.gov.uk,https://www.data.gov.uk/dataset/e5d7c4b6-2527-407c-bcff-23401e4c463e/hmo-register5,762
traffic commissioners: goods and public service vehicle operator licence records - data.gov.uk,https://www.data.gov.uk/dataset/2a67d1ee-8f1b-43a3-8bc6-e8772d162a3c/traffic-commissioners-goods-and-public-service-vehicle-operator-licence-records,677
priority habitats inventory (england) - data.gov.uk,https://www.data.gov.uk/dataset/4b6ddab7-6c0f-4407-946e-d6499f19fcde/priority-habitats-inventory-england,656
